Date,Close,Open,High,Low,DAXClose,SPClose,DFFR,EURINF,USAINF,GERLTINT,EURLTINT,USACPI,USAUNEMP
7/29/2016,1.1174,1.1079,1.12,1.1071,10337.5,2173.6,0.3,0.2,0.8,-0.15,0.78,2.2,4.8
8/1/2016,1.1162,1.1177,1.1187,1.1157,10330.51953,2170.84,0.4,0.2,1.1,-0.13,0.72,2.3,4.9
8/2/2016,1.1227,1.1162,1.1235,1.1155,10144.33984,2157.03,0.4,0.2,1.1,-0.13,0.72,2.3,4.9
8/3/2016,1.1149,1.1224,1.1233,1.1139,10170.20996,2163.79,0.4,0.2,1.1,-0.13,0.72,2.3,4.9
8/4/2016,1.113,1.1149,1.1158,1.1114,10227.86035,2164.25,0.4,0.2,1.1,-0.13,0.72,2.3,4.9
8/5/2016,1.1086,1.1128,1.1162,1.1044,10367.20996,2182.87,0.4,0.2,1.1,-0.13,0.72,2.3,4.9
8/8/2016,1.1092,1.1088,1.1107,1.1073,10432.36035,2180.89,0.4,0.2,1.1,-0.13,0.72,2.3,4.9
8/9/2016,1.1119,1.109,1.1125,1.107,10692.90039,2181.74,0.4,0.2,1.1,-0.13,0.72,2.3,4.9
8/10/2016,1.1176,1.1117,1.1193,1.1103,10650.88965,2175.49,0.4,0.2,1.1,-0.13,0.72,2.3,4.9
8/11/2016,1.1137,1.1175,1.1194,1.1133,10742.83984,2185.79,0.4,0.2,1.1,-0.13,0.72,2.3,4.9
8/12/2016,1.1161,1.1139,1.1224,1.113,10713.42969,2184.05,0.4,0.2,1.1,-0.13,0.72,2.3,4.9
8/15/2016,1.1184,1.1162,1.1203,1.1153,10739.20996,2190.15,0.4,0.2,1.1,-0.13,0.72,2.3,4.9
8/16/2016,1.1278,1.1182,1.1324,1.1175,10676.65039,2178.15,0.4,0.2,1.1,-0.13,0.72,2.3,4.9
8/17/2016,1.1288,1.1279,1.1317,1.1241,10537.66992,2182.22,0.4,0.2,1.1,-0.13,0.72,2.3,4.9
8/18/2016,1.1354,1.1293,1.1367,1.1283,10603.03027,2187.02,0.4,0.2,1.1,-0.13,0.72,2.3,4.9
8/19/2016,1.1326,1.1351,1.1363,1.1303,10544.36035,2183.87,0.4,0.2,1.1,-0.13,0.72,2.3,4.9
8/22/2016,1.1319,1.1306,1.1334,1.1273,10494.34961,2182.64,0.4,0.2,1.1,-0.13,0.72,2.3,4.9
8/23/2016,1.1306,1.1321,1.1357,1.1302,10592.87988,2186.9,0.4,0.2,1.1,-0.13,0.72,2.3,4.9
8/24/2016,1.1263,1.1305,1.1315,1.1244,10622.96973,2175.44,0.4,0.2,1.1,-0.13,0.72,2.3,4.9
8/25/2016,1.1283,1.1266,1.1301,1.1258,10529.58984,2172.47,0.4,0.2,1.1,-0.13,0.72,2.3,4.9
8/26/2016,1.1198,1.1284,1.1343,1.118,10587.76953,2169.04,0.4,0.2,1.1,-0.13,0.72,2.3,4.9
8/29/2016,1.1189,1.1192,1.1208,1.1157,10544.44043,2180.38,0.4,0.2,1.1,-0.13,0.72,2.3,4.9
8/30/2016,1.1143,1.1189,1.1198,1.113,10657.63965,2176.12,0.4,0.2,1.1,-0.13,0.72,2.3,4.9
8/31/2016,1.1158,1.1143,1.1167,1.1123,10592.69043,2170.95,0.3,0.2,1.1,-0.13,0.72,2.3,4.9
9/1/2016,1.1198,1.1157,1.1207,1.1128,10534.30957,2170.86,0.4,0.4,1.5,-0.09,0.79,2.2,5
9/2/2016,1.1156,1.1197,1.1254,1.1151,10683.82031,2179.98,0.4,0.4,1.5,-0.09,0.79,2.2,5
9/5/2016,1.1147,1.1153,1.1185,1.114,10672.21973,2183.23,0.4,0.4,1.5,-0.09,0.79,2.2,5
9/6/2016,1.1256,1.1147,1.1267,1.114,10687.13965,2186.48,0.4,0.4,1.5,-0.09,0.79,2.2,5
9/7/2016,1.1239,1.1255,1.1271,1.1228,10752.98047,2186.16,0.4,0.4,1.5,-0.09,0.79,2.2,5
9/8/2016,1.1261,1.124,1.1329,1.1234,10675.29004,2181.3,0.4,0.4,1.5,-0.09,0.79,2.2,5
9/9/2016,1.1233,1.1262,1.1288,1.12,10573.44043,2127.81,0.4,0.4,1.5,-0.09,0.79,2.2,5
